-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (45816, 16, 250) Train Lable: (45816, 1)
Test Data: (1824, 16, 250) Test Lable: (1824, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 24732
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 24732
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.4895857660592988
Standard Daviation in Data Set: 0.07561770584016739
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 22908
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.48845966540634095
Standard Daviation in Data Set: 0.07650526931912283
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 1824
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.5178716364079491
Standard Daviation in Data Set: 0.03866051271609326
epoch: 128, lr: 0.01, accuracy: tensor(0.6991, device='cuda:0'), loss: 0.6298136711120605, valid accuracy: tensor(0.2588, device='cuda:0')
epoch: 129, lr: 0.01, accuracy: tensor(0.7190, device='cuda:0'), loss: 0.5885065793991089, valid accuracy: tensor(0.2396, device='cuda:0')
epoch: 130, lr: 0.01, accuracy: tensor(0.6933, device='cuda:0'), loss: 0.5887759327888489, valid accuracy: tensor(0.7495, device='cuda:0')
epoch: 131, lr: 0.01, accuracy: tensor(0.7373, device='cuda:0'), loss: 0.5437406897544861, valid accuracy: tensor(0.4457, device='cuda:0')
epoch: 132, lr: 0.01, accuracy: tensor(0.6952, device='cuda:0'), loss: 0.6017346382141113, valid accuracy: tensor(0.2445, device='cuda:0')
epoch: 133, lr: 0.01, accuracy: tensor(0.7220, device='cuda:0'), loss: 0.540802001953125, valid accuracy: tensor(0.2357, device='cuda:0')
epoch: 134, lr: 0.01, accuracy: tensor(0.7178, device='cuda:0'), loss: 0.5472297072410583, valid accuracy: tensor(0.2440, device='cuda:0')
epoch: 135, lr: 0.01, accuracy: tensor(0.7446, device='cuda:0'), loss: 0.5470101833343506, valid accuracy: tensor(0.5921, device='cuda:0')
epoch: 136, lr: 0.01, accuracy: tensor(0.7383, device='cuda:0'), loss: 0.5430768132209778, valid accuracy: tensor(0.7122, device='cuda:0')
epoch: 137, lr: 0.01, accuracy: tensor(0.7556, device='cuda:0'), loss: 0.5176094174385071, valid accuracy: tensor(0.4693, device='cuda:0')
epoch: 138, lr: 0.01, accuracy: tensor(0.7636, device='cuda:0'), loss: 0.494602769613266, valid accuracy: tensor(0.5345, device='cuda:0')
epoch: 139, lr: 0.01, accuracy: tensor(0.7594, device='cuda:0'), loss: 0.5280705690383911, valid accuracy: tensor(0.4857, device='cuda:0')
epoch: 140, lr: 0.01, accuracy: tensor(0.7342, device='cuda:0'), loss: 0.6289874911308289, valid accuracy: tensor(0.3470, device='cuda:0')
epoch: 141, lr: 0.01, accuracy: tensor(0.7187, device='cuda:0'), loss: 0.5587746500968933, valid accuracy: tensor(0.6431, device='cuda:0')
epoch: 142, lr: 0.01, accuracy: tensor(0.7538, device='cuda:0'), loss: 0.5224034190177917, valid accuracy: tensor(0.3366, device='cuda:0')
epoch: 143, lr: 0.01, accuracy: tensor(0.7682, device='cuda:0'), loss: 0.5369570255279541, valid accuracy: tensor(0.6694, device='cuda:0')
epoch: 144, lr: 0.01, accuracy: tensor(0.7523, device='cuda:0'), loss: 0.5334305763244629, valid accuracy: tensor(0.5005, device='cuda:0')
epoch: 145, lr: 0.01, accuracy: tensor(0.7521, device='cuda:0'), loss: 0.559062123298645, valid accuracy: tensor(0.1425, device='cuda:0')
epoch: 146, lr: 0.01, accuracy: tensor(0.7696, device='cuda:0'), loss: 0.5207675695419312, valid accuracy: tensor(0.2451, device='cuda:0')
